Date,Open,High,Low,Close,Adj Close,Volume
21-Jan-25,970,"1,070.00",940,"1,070.00","1,070.00","3,645,100"
20-Jan-25,965,995,955,955,955,"148,300"
17-Jan-25,945,965,945,965,965,"48,800"
16-Jan-25,950,975,945,945,945,"52,500"
15-Jan-25,980,980,945,945,945,"130,600"
14-Jan-25,950,980,935,955,955,"78,900"
13-Jan-25,985,"1,000.00",950,950,950,"291,500"
10-Jan-25,925,985,925,975,975,"963,300"
9-Jan-25,915,955,885,925,925,"399,700"
8-Jan-25,880,915,880,880,880,"621,900"
7-Jan-25,890,890,880,880,880,"139,100"
6-Jan-25,900,915,890,890,890,"72,700"
3-Jan-25,915,930,890,900,900,"197,900"
2-Jan-25,930,935,915,915,915,"305,300"
30-Dec-24,950,955,920,920,920,"1,375,900"
27-Dec-24,935,950,930,950,950,"59,400"
24-Dec-24,935,955,930,935,935,"66,300"
23-Dec-24,945,950,930,935,935,"487,300"
20-Dec-24,940,960,940,945,945,"221,100"
19-Dec-24,950,975,940,940,940,"217,200"
18-Dec-24,950,960,950,950,950,"36,300"
17-Dec-24,960,970,950,950,950,"163,200"
16-Dec-24,960,970,955,960,960,"42,400"
13-Dec-24,970,975,950,960,960,"131,200"
12-Dec-24,970,980,965,965,965,"146,900"
11-Dec-24,965,980,960,965,965,"238,100"
10-Dec-24,980,980,965,965,965,"291,800"
9-Dec-24,955,980,940,975,975,"549,600"
6-Dec-24,955,960,955,955,955,"56,200"
5-Dec-24,955,965,950,955,955,"332,000"
4-Dec-24,970,970,955,955,955,"310,100"
3-Dec-24,940,970,940,955,955,"173,600"
2-Dec-24,970,975,950,950,950,"385,200"
29-Nov-24,"1,005.00","1,005.00",970,970,970,"562,600"
28-Nov-24,"1,060.00","1,100.00",960,"1,005.00","1,005.00","2,202,800"
26-Nov-24,960,"1,060.00",950,"1,060.00","1,060.00","2,022,200"
25-Nov-24,965,970,950,955,955,"163,500"
22-Nov-24,990,990,945,965,965,"202,900"
21-Nov-24,960,990,950,965,965,"81,900"
20-Nov-24,975,975,950,960,960,"212,400"
19-Nov-24,945,970,945,970,970,"445,000"
18-Nov-24,950,980,940,945,945,"572,200"
15-Nov-24,980,980,940,950,950,"1,020,200"
14-Nov-24,990,"1,000.00",970,980,980,"346,800"
13-Nov-24,"1,005.00","1,005.00",970,990,990,"972,200"
12-Nov-24,"1,000.00","1,025.00","1,000.00","1,000.00","1,000.00","213,600"
11-Nov-24,"1,030.00","1,030.00",980,"1,000.00","1,000.00","869,200"
8-Nov-24,"1,050.00","1,050.00","1,000.00","1,030.00","1,030.00","244,000"
7-Nov-24,"1,005.00","1,030.00","1,000.00","1,015.00","1,015.00","473,700"
6-Nov-24,"1,000.00","1,015.00",990,"1,005.00","1,005.00","353,900"
5-Nov-24,"1,015.00","1,015.00",995,"1,000.00","1,000.00","218,600"
4-Nov-24,"1,050.00","1,060.00","1,000.00","1,015.00","1,015.00","682,300"
1-Nov-24,"1,050.00","1,065.00","1,025.00","1,050.00","1,050.00","166,200"
31-Oct-24,"1,060.00","1,070.00","1,030.00","1,050.00","1,050.00","369,000"
30-Oct-24,"1,060.00","1,080.00","1,015.00","1,050.00","1,050.00","588,900"
29-Oct-24,"1,055.00","1,085.00","1,020.00","1,055.00","1,055.00","331,900"
28-Oct-24,"1,115.00","1,115.00","1,040.00","1,055.00","1,055.00","867,600"
25-Oct-24,"1,045.00","1,120.00","1,045.00","1,120.00","1,120.00","736,600"
24-Oct-24,"1,215.00","1,220.00","1,045.00","1,045.00","1,045.00","5,546,800"
23-Oct-24,"1,220.00","1,250.00","1,195.00","1,215.00","1,215.00","2,964,200"
22-Oct-24,"1,225.00","1,250.00","1,205.00","1,220.00","1,220.00","467,500"
21-Oct-24,"1,210.00","1,235.00","1,185.00","1,220.00","1,220.00","1,264,800"
18-Oct-24,"1,230.00","1,230.00","1,190.00","1,220.00","1,220.00","1,031,300"
17-Oct-24,"1,220.00","1,230.00","1,185.00","1,230.00","1,230.00","2,385,300"
16-Oct-24,"1,190.00","1,225.00","1,160.00","1,220.00","1,220.00","8,459,700"
15-Oct-24,"1,180.00","1,200.00","1,135.00","1,190.00","1,190.00","3,717,400"
14-Oct-24,"1,145.00","1,180.00","1,075.00","1,170.00","1,170.00","2,802,000"
11-Oct-24,"1,030.00","1,130.00","1,020.00","1,125.00","1,125.00","3,610,100"
10-Oct-24,"1,070.00","1,085.00","1,020.00","1,050.00","1,050.00","2,569,300"
9-Oct-24,970,"1,065.00",965,"1,065.00","1,065.00","3,467,600"
8-Oct-24,930,970,930,970,970,"632,700"
7-Oct-24,935,945,925,930,930,"236,100"
4-Oct-24,930,960,930,935,935,"466,800"
3-Oct-24,950,950,925,930,930,"353,500"
2-Oct-24,960,965,935,940,940,"981,300"
1-Oct-24,965,965,955,960,960,"143,400"
30-Sep-24,970,980,950,965,965,"410,400"
27-Sep-24,975,990,960,965,965,"393,800"
26-Sep-24,980,"1,000.00",970,975,975,"698,900"
25-Sep-24,955,980,950,970,970,"2,951,100"
24-Sep-24,955,980,955,955,955,"429,800"
23-Sep-24,970,970,955,955,955,"240,600"
20-Sep-24,975,980,960,970,970,"164,300"
19-Sep-24,960,985,960,975,975,"382,000"
18-Sep-24,950,975,950,955,955,"213,200"
17-Sep-24,955,970,950,950,950,"439,000"
13-Sep-24,980,985,950,955,955,"682,300"
12-Sep-24,995,"1,000.00",960,970,970,"775,100"
11-Sep-24,990,"1,000.00",985,985,985,"439,400"
10-Sep-24,985,"1,000.00",985,985,985,"220,700"
9-Sep-24,995,995,980,985,985,"580,500"
6-Sep-24,995,"1,000.00",985,995,995,"200,300"
5-Sep-24,"1,005.00","1,005.00",985,995,995,"410,800"
4-Sep-24,990,"1,005.00",990,"1,005.00","1,005.00","233,900"
3-Sep-24,"1,010.00","1,010.00",990,990,990,"683,400"
2-Sep-24,980,"1,010.00",975,"1,005.00","1,005.00","479,400"
30-Aug-24,"1,000.00","1,020.00",960,980,980,"4,564,800"
29-Aug-24,"1,005.00","1,025.00",995,995,995,"2,472,700"
28-Aug-24,"1,045.00","1,050.00","1,005.00","1,005.00","1,005.00","3,425,400"
27-Aug-24,"1,040.00","1,045.00","1,005.00","1,045.00","1,045.00","1,533,000"
26-Aug-24,"1,020.00","1,070.00",995,"1,040.00","1,040.00","9,982,300"
23-Aug-24,"1,070.00","1,075.00","1,015.00","1,040.00","1,040.00","3,569,400"
22-Aug-24,"1,155.00","1,155.00","1,020.00","1,070.00","1,070.00","6,271,300"
21-Aug-24,"1,130.00","1,155.00","1,100.00","1,155.00","1,155.00","2,944,400"
20-Aug-24,"1,200.00","1,200.00","1,145.00","1,145.00","1,145.00","4,215,000"
19-Aug-24,"1,170.00","1,200.00","1,160.00","1,200.00","1,200.00","9,735,400"
16-Aug-24,"1,170.00","1,205.00","1,160.00","1,170.00","1,170.00","12,861,700"
15-Aug-24,"1,065.00","1,190.00","1,060.00","1,170.00","1,170.00","14,347,200"
14-Aug-24,"1,075.00","1,075.00","1,035.00","1,070.00","1,070.00","1,424,200"
13-Aug-24,"1,100.00","1,115.00","1,075.00","1,075.00","1,075.00","1,417,900"
12-Aug-24,965,"1,100.00",960,"1,100.00","1,100.00","5,386,900"
9-Aug-24,980,980,960,960,960,"90,900"
8-Aug-24,970,975,950,975,975,"149,400"
7-Aug-24,955,980,950,965,965,"337,900"
6-Aug-24,945,995,945,955,955,"447,500"
5-Aug-24,975,"1,000.00",935,935,935,"1,672,600"
2-Aug-24,980,985,950,970,970,"459,200"
1-Aug-24,985,995,980,980,980,"125,800"
31-Jul-24,"1,000.00","1,000.00",980,985,985,"189,500"
30-Jul-24,"1,000.00","1,010.00",975,"1,000.00","1,000.00","552,900"
29-Jul-24,"1,035.00","1,050.00","1,000.00","1,000.00","1,000.00","675,600"
26-Jul-24,990,"1,040.00",990,"1,035.00","1,035.00","1,710,900"
25-Jul-24,995,"1,015.00",975,990,990,"431,300"
24-Jul-24,"1,005.00","1,010.00",945,"1,000.00","1,000.00","4,806,300"
23-Jul-24,"1,025.00","1,035.00","1,000.00","1,000.00","1,000.00","1,135,300"
22-Jul-24,"1,040.00","1,040.00",995,"1,025.00","1,025.00","1,458,300"
19-Jul-24,"1,060.00","1,065.00","1,020.00","1,030.00","1,030.00","1,830,400"
