Date,Open,High,Low,Close,Adj Close,Volume
14-Feb-25,"6,150.00","6,350.00","6,075.00","6,150.00","6,150.00","17,429,300"
13-Feb-25,"6,475.00","6,475.00","6,025.00","6,125.00","6,125.00","20,652,100"
12-Feb-25,"6,100.00","6,450.00","6,025.00","6,275.00","6,275.00","27,758,900"
11-Feb-25,"6,700.00","6,775.00","5,825.00","6,025.00","6,025.00","60,707,200"
10-Feb-25,"6,500.00","7,100.00","5,800.00","6,650.00","6,650.00","154,387,100"
7-Feb-25,"7,025.00","7,025.00","7,025.00","7,025.00","7,025.00","9,594,200"
6-Feb-25,"8,900.00","8,925.00","8,600.00","8,775.00","8,775.00","8,514,600"
5-Feb-25,"8,950.00","8,975.00","8,700.00","8,850.00","8,850.00","13,590,000"
4-Feb-25,"8,500.00","8,975.00","8,475.00","8,875.00","8,875.00","17,040,900"
3-Feb-25,"8,975.00","9,000.00","8,250.00","8,400.00","8,400.00","27,467,700"
31-Jan-25,"9,175.00","9,325.00","9,025.00","9,025.00","9,025.00","13,310,200"
30-Jan-25,"9,600.00","9,625.00","9,050.00","9,125.00","9,125.00","19,450,700"
24-Jan-25,"9,975.00","9,975.00","9,400.00","9,600.00","9,600.00","28,283,600"
23-Jan-25,"9,900.00","10,050.00","9,775.00","10,000.00","10,000.00","22,516,700"
22-Jan-25,"9,950.00","10,075.00","9,775.00","9,850.00","9,850.00","25,079,100"
21-Jan-25,"9,650.00","9,850.00","9,100.00","9,850.00","9,850.00","50,440,000"
20-Jan-25,"9,925.00","10,000.00","9,600.00","9,600.00","9,600.00","21,370,700"
17-Jan-25,"9,650.00","10,075.00","9,600.00","9,825.00","9,825.00","60,357,300"
16-Jan-25,"9,100.00","9,775.00","8,875.00","9,575.00","9,575.00","35,353,500"
15-Jan-25,"9,650.00","9,725.00","9,025.00","9,075.00","9,075.00","40,012,900"
14-Jan-25,"10,200.00","10,225.00","9,625.00","9,650.00","9,650.00","30,077,600"
13-Jan-25,"10,450.00","10,525.00","9,500.00","10,025.00","10,025.00","37,723,000"
10-Jan-25,"10,300.00","10,525.00","10,200.00","10,450.00","10,450.00","16,317,700"
9-Jan-25,"10,475.00","10,500.00","10,125.00","10,225.00","10,225.00","21,496,500"
8-Jan-25,"10,600.00","10,650.00","10,200.00","10,475.00","10,475.00","35,618,900"
7-Jan-25,"9,850.00","10,550.00","9,750.00","10,550.00","10,550.00","50,713,700"
6-Jan-25,"9,700.00","9,925.00","9,700.00","9,800.00","9,800.00","19,534,300"
3-Jan-25,"9,525.00","9,750.00","9,450.00","9,675.00","9,675.00","16,136,000"
2-Jan-25,"9,275.00","9,825.00","9,275.00","9,475.00","9,475.00","31,228,000"
30-Dec-24,"9,275.00","9,400.00","9,075.00","9,275.00","9,275.00","22,948,300"
27-Dec-24,"9,125.00","9,275.00","9,075.00","9,200.00","9,200.00","11,432,100"
24-Dec-24,"9,425.00","9,600.00","8,950.00","9,125.00","9,125.00","21,027,300"
23-Dec-24,"9,200.00","9,500.00","9,100.00","9,375.00","9,375.00","27,643,300"
20-Dec-24,"8,900.00","9,375.00","8,700.00","9,200.00","9,200.00","32,532,200"
19-Dec-24,"8,700.00","9,000.00","8,500.00","8,825.00","8,825.00","26,992,300"
18-Dec-24,"8,900.00","9,100.00","8,825.00","8,975.00","8,975.00","24,813,500"
17-Dec-24,"8,450.00","9,025.00","8,425.00","8,800.00","8,800.00","37,949,700"
16-Dec-24,"8,625.00","8,650.00","8,050.00","8,425.00","8,425.00","24,698,300"
13-Dec-24,"8,600.00","8,850.00","8,525.00","8,525.00","8,525.00","27,358,700"
12-Dec-24,"8,475.00","8,675.00","8,350.00","8,525.00","8,525.00","17,602,300"
11-Dec-24,"8,450.00","8,750.00","8,400.00","8,400.00","8,396.22","29,210,500"
10-Dec-24,"8,400.00","8,700.00","8,050.00","8,450.00","8,446.19","38,842,600"
9-Dec-24,"8,400.00","8,550.00","8,275.00","8,325.00","8,321.25","31,066,900"
6-Dec-24,"7,500.00","8,500.00","7,450.00","8,500.00","8,496.17","65,924,600"
5-Dec-24,"7,500.00","7,675.00","7,300.00","7,500.00","7,496.62","33,477,500"
4-Dec-24,"6,825.00","7,500.00","6,800.00","7,475.00","7,471.63","41,585,700"
3-Dec-24,"6,775.00","7,000.00","6,725.00","6,800.00","6,796.94","10,095,800"
2-Dec-24,"6,625.00","6,775.00","6,625.00","6,725.00","6,721.97","8,955,800"
29-Nov-24,"6,750.00","6,800.00","6,600.00","6,625.00","6,622.02","12,623,100"
28-Nov-24,"6,725.00","6,800.00","6,700.00","6,750.00","6,746.96","4,553,600"
26-Nov-24,"6,950.00","7,000.00","6,700.00","6,700.00","6,696.98","12,522,000"
25-Nov-24,"6,750.00","7,050.00","6,650.00","6,900.00","6,896.89","18,223,100"
22-Nov-24,"6,550.00","6,775.00","6,550.00","6,700.00","6,696.98","10,506,200"
21-Nov-24,"6,725.00","6,875.00","6,550.00","6,550.00","6,547.05","12,451,700"
20-Nov-24,"6,900.00","6,925.00","6,725.00","6,750.00","6,746.96","7,025,800"
19-Nov-24,"6,675.00","7,050.00","6,675.00","6,850.00","6,846.92","13,064,000"
18-Nov-24,"6,875.00","6,975.00","6,675.00","6,675.00","6,671.99","12,541,000"
15-Nov-24,"7,025.00","7,175.00","6,725.00","6,900.00","6,896.89","20,269,300"
14-Nov-24,"7,375.00","7,450.00","7,025.00","7,025.00","7,021.84","19,680,100"
13-Nov-24,"7,600.00","7,625.00","7,275.00","7,375.00","7,371.68","22,572,100"
12-Nov-24,"7,500.00","7,875.00","7,425.00","7,500.00","7,496.62","55,528,200"
11-Nov-24,"6,875.00","7,525.00","6,625.00","7,375.00","7,371.68","51,912,700"
8-Nov-24,"6,300.00","7,025.00","6,250.00","6,875.00","6,871.90","56,915,100"
7-Nov-24,"6,300.00","6,400.00","6,000.00","6,000.00","5,997.30","14,418,500"
6-Nov-24,"6,400.00","6,500.00","6,150.00","6,375.00","6,372.13","16,740,100"
5-Nov-24,"6,775.00","6,775.00","6,400.00","6,400.00","6,397.12","15,252,200"
4-Nov-24,"6,725.00","6,825.00","6,575.00","6,600.00","6,597.03","8,692,500"
1-Nov-24,"6,825.00","6,950.00","6,700.00","6,700.00","6,696.98","11,549,600"
31-Oct-24,"6,700.00","7,000.00","6,700.00","6,800.00","6,796.94","18,560,900"
30-Oct-24,"6,825.00","6,875.00","6,675.00","6,675.00","6,671.99","9,464,700"
29-Oct-24,"6,800.00","6,975.00","6,775.00","6,800.00","6,796.94","10,521,400"
28-Oct-24,"7,325.00","7,325.00","6,700.00","6,800.00","6,796.94","38,459,900"
25-Oct-24,"7,450.00","7,550.00","7,225.00","7,275.00","7,271.72","13,699,600"
24-Oct-24,"7,575.00","7,800.00","7,400.00","7,400.00","7,396.67","25,490,300"
23-Oct-24,"7,700.00","7,850.00","7,450.00","7,575.00","7,571.59","39,537,300"
22-Oct-24,"7,050.00","7,650.00","7,050.00","7,625.00","7,621.57","69,416,000"
21-Oct-24,"7,200.00","7,250.00","7,025.00","7,025.00","7,021.84","20,722,600"
18-Oct-24,"7,175.00","7,300.00","6,975.00","7,175.00","7,171.77","95,394,100"
17-Oct-24,"6,875.00","7,250.00","6,800.00","7,175.00","7,171.77","43,453,000"
16-Oct-24,"6,600.00","6,875.00","6,600.00","6,875.00","6,871.90","26,103,900"
15-Oct-24,"6,725.00","6,775.00","6,550.00","6,550.00","6,547.05","16,954,300"
14-Oct-24,"6,500.00","6,850.00","6,500.00","6,700.00","6,696.98","19,802,300"
11-Oct-24,"6,525.00","6,600.00","6,400.00","6,500.00","6,497.07","14,669,000"
10-Oct-24,"6,550.00","6,700.00","6,525.00","6,525.00","6,522.06","10,231,500"
9-Oct-24,"6,750.00","6,825.00","6,600.00","6,600.00","6,597.03","11,196,700"
8-Oct-24,"6,775.00","6,900.00","6,650.00","6,700.00","6,696.98","12,943,900"
7-Oct-24,"6,950.00","7,000.00","6,750.00","6,750.00","6,746.96","24,792,200"
4-Oct-24,"6,925.00","7,000.00","6,550.00","6,950.00","6,946.87","53,098,700"
3-Oct-24,"6,950.00","7,150.00","6,650.00","6,850.00","6,846.92","43,581,700"
2-Oct-24,"6,800.00","7,100.00","6,375.00","6,975.00","6,971.86","60,147,400"
1-Oct-24,"6,625.00","6,900.00","6,575.00","6,800.00","6,796.94","24,884,500"
30-Sep-24,"7,150.00","7,225.00","6,525.00","6,600.00","6,597.03","50,373,500"
27-Sep-24,"7,350.00","7,425.00","7,025.00","7,175.00","7,171.77","33,279,500"
26-Sep-24,"6,975.00","7,400.00","6,950.00","7,300.00","7,296.71","58,899,700"
25-Sep-24,"7,300.00","7,325.00","6,900.00","6,975.00","6,971.86","66,286,900"
24-Sep-24,"6,000.00","7,925.00","5,675.00","7,225.00","7,221.75","467,025,900"
23-Sep-24,"7,075.00","7,075.00","7,075.00","7,075.00","7,071.81","12,591,300"
20-Sep-24,"10,200.00","10,200.00","8,825.00","8,825.00","8,821.03","17,045,100"
19-Sep-24,"10,725.00","11,350.00","10,725.00","11,025.00","11,020.03","36,434,400"
18-Sep-24,"11,225.00","11,400.00","10,725.00","10,725.00","10,720.17","34,909,700"
17-Sep-24,"11,850.00","12,050.00","10,925.00","11,150.00","11,144.98","45,242,600"
13-Sep-24,"11,900.00","12,000.00","11,650.00","11,775.00","11,769.70","12,601,300"
12-Sep-24,"11,975.00","12,100.00","11,675.00","11,750.00","11,744.71","25,427,800"
11-Sep-24,"11,600.00","11,950.00","11,425.00","11,900.00","11,894.64","41,615,200"
10-Sep-24,"10,800.00","11,500.00","10,775.00","11,500.00","11,494.82","38,892,300"
9-Sep-24,"10,825.00","10,975.00","10,450.00","10,750.00","10,745.16","26,312,900"
6-Sep-24,"10,825.00","11,075.00","10,675.00","10,800.00","10,795.14","23,803,900"
