Date,Open,High,Low,Close,Adj Close,Volume
21-Mar-25,760,785,730,785,785,"13,586,900"
20-Mar-25,750,770,750,755,755,"7,526,500"
19-Mar-25,730,760,725,750,750,"8,664,800"
18-Mar-25,765,770,705,730,730,"15,012,700"
17-Mar-25,765,780,760,760,760,"9,035,100"
14-Mar-25,805,805,760,765,765,"19,704,000"
13-Mar-25,810,820,800,805,805,"15,645,200"
12-Mar-25,815,825,810,815,815,"10,054,500"
11-Mar-25,825,830,810,815,815,"7,667,400"
10-Mar-25,840,845,825,825,825,"4,922,200"
7-Mar-25,865,865,835,840,840,"13,810,100"
6-Mar-25,870,885,860,865,865,"7,209,500"
5-Mar-25,855,880,855,865,865,"3,273,100"
4-Mar-25,895,900,855,855,855,"7,375,900"
3-Mar-25,875,915,875,895,895,"7,306,000"
28-Feb-25,910,940,850,875,875,"13,708,500"
27-Feb-25,920,940,905,910,910,"8,734,700"
26-Feb-25,925,960,890,925,925,"10,901,000"
25-Feb-25,945,960,915,925,925,"15,698,200"
24-Feb-25,915,965,910,945,945,"19,460,400"
21-Feb-25,935,955,910,915,915,"6,841,100"
20-Feb-25,915,960,910,935,935,"26,762,700"
19-Feb-25,875,930,870,910,910,"29,212,700"
18-Feb-25,895,910,865,870,870,"14,255,400"
17-Feb-25,875,900,875,890,890,"6,707,000"
14-Feb-25,885,895,850,885,885,"26,785,100"
13-Feb-25,830,910,810,885,885,"17,896,400"
12-Feb-25,850,850,825,830,830,"9,864,500"
11-Feb-25,870,875,820,825,825,"21,823,500"
10-Feb-25,890,895,870,870,870,"10,396,200"
7-Feb-25,905,905,875,890,890,"12,828,200"
6-Feb-25,935,950,900,905,905,"16,653,300"
5-Feb-25,915,955,915,930,930,"31,123,800"
4-Feb-25,920,945,910,910,910,"14,012,800"
3-Feb-25,955,965,915,915,915,"14,914,900"
31-Jan-25,975,980,950,950,950,"23,847,200"
30-Jan-25,"1,000.00","1,000.00",965,975,975,"10,524,000"
24-Jan-25,"1,050.00","1,055.00","1,000.00","1,000.00","1,000.00","26,106,600"
23-Jan-25,"1,065.00","1,110.00","1,035.00","1,050.00","1,050.00","84,510,000"
22-Jan-25,925,"1,060.00",920,"1,060.00","1,060.00","94,014,000"
21-Jan-25,915,925,910,925,925,"5,100,400"
20-Jan-25,925,930,915,915,915,"4,023,300"
17-Jan-25,935,940,915,920,920,"4,391,600"
16-Jan-25,930,940,915,935,935,"5,611,300"
15-Jan-25,910,935,905,925,925,"7,504,300"
14-Jan-25,910,930,905,910,910,"4,506,000"
13-Jan-25,905,930,900,910,910,"8,510,900"
10-Jan-25,900,905,890,900,900,"3,927,900"
9-Jan-25,905,915,895,900,900,"5,822,400"
8-Jan-25,900,915,900,905,905,"3,982,200"
7-Jan-25,925,930,900,900,900,"8,202,600"
6-Jan-25,935,945,925,925,925,"5,511,300"
3-Jan-25,945,965,925,935,935,"6,731,300"
2-Jan-25,945,950,935,940,940,"3,980,800"
30-Dec-24,955,960,920,935,935,"5,554,000"
27-Dec-24,955,960,945,950,950,"2,664,100"
24-Dec-24,965,980,950,955,955,"4,777,200"
23-Dec-24,975,980,960,960,960,"4,424,200"
20-Dec-24,965,995,945,975,975,"16,903,100"
19-Dec-24,900,970,880,965,965,"25,841,500"
18-Dec-24,900,920,900,900,900,"12,611,900"
17-Dec-24,935,940,900,900,900,"15,396,500"
16-Dec-24,960,960,930,935,935,"9,940,900"
13-Dec-24,960,965,950,955,955,"5,025,900"
12-Dec-24,965,975,955,960,960,"11,256,600"
11-Dec-24,970,980,960,965,965,"17,507,000"
10-Dec-24,980,985,965,970,970,"10,612,400"
9-Dec-24,980,990,970,975,975,"12,431,600"
6-Dec-24,985,985,970,975,975,"9,851,900"
5-Dec-24,"1,005.00","1,010.00",975,985,985,"12,369,700"
4-Dec-24,960,"1,030.00",960,"1,000.00","1,000.00","35,524,500"
3-Dec-24,965,985,945,960,960,"12,335,700"
2-Dec-24,"1,000.00","1,005.00",965,965,965,"11,433,500"
29-Nov-24,"1,005.00","1,015.00",990,990,990,"12,385,200"
28-Nov-24,"1,015.00","1,025.00","1,005.00","1,005.00","1,005.00","7,673,700"
26-Nov-24,"1,020.00","1,030.00","1,010.00","1,015.00","1,015.00","7,873,400"
25-Nov-24,"1,030.00","1,040.00","1,020.00","1,020.00","1,020.00","10,720,100"
22-Nov-24,"1,020.00","1,030.00","1,015.00","1,030.00","1,030.00","5,125,200"
21-Nov-24,"1,040.00","1,040.00","1,015.00","1,020.00","1,020.00","6,376,800"
20-Nov-24,"1,045.00","1,055.00","1,035.00","1,040.00","1,040.00","4,085,600"
19-Nov-24,"1,025.00","1,040.00","1,025.00","1,040.00","1,040.00","4,556,400"
18-Nov-24,"1,035.00","1,035.00","1,015.00","1,025.00","1,025.00","4,474,000"
15-Nov-24,"1,050.00","1,060.00","1,025.00","1,035.00","1,035.00","3,431,800"
14-Nov-24,"1,080.00","1,085.00","1,045.00","1,050.00","1,050.00","8,983,800"
13-Nov-24,"1,050.00","1,100.00","1,035.00","1,080.00","1,080.00","13,740,600"
12-Nov-24,"1,030.00","1,045.00","1,015.00","1,045.00","1,045.00","6,699,300"
11-Nov-24,"1,035.00","1,040.00","1,005.00","1,015.00","1,015.00","8,516,700"
8-Nov-24,"1,035.00","1,045.00","1,030.00","1,035.00","1,035.00","4,859,500"
7-Nov-24,"1,060.00","1,060.00","1,020.00","1,030.00","1,030.00","10,738,300"
6-Nov-24,"1,075.00","1,080.00","1,055.00","1,055.00","1,055.00","5,042,100"
5-Nov-24,"1,065.00","1,085.00","1,060.00","1,070.00","1,070.00","6,728,900"
4-Nov-24,"1,080.00","1,080.00","1,055.00","1,065.00","1,065.00","6,616,000"
1-Nov-24,"1,090.00","1,100.00","1,075.00","1,080.00","1,080.00","8,160,800"
31-Oct-24,"1,095.00","1,100.00","1,085.00","1,090.00","1,090.00","7,089,600"
30-Oct-24,"1,115.00","1,120.00","1,085.00","1,090.00","1,090.00","12,955,700"
29-Oct-24,"1,110.00","1,130.00","1,110.00","1,110.00","1,110.00","7,489,400"
28-Oct-24,"1,125.00","1,130.00","1,110.00","1,110.00","1,110.00","12,892,400"
25-Oct-24,"1,130.00","1,135.00","1,125.00","1,125.00","1,125.00","6,969,300"
24-Oct-24,"1,135.00","1,140.00","1,125.00","1,130.00","1,130.00","8,356,300"
23-Oct-24,"1,140.00","1,145.00","1,135.00","1,135.00","1,135.00","8,764,800"
22-Oct-24,"1,155.00","1,155.00","1,135.00","1,140.00","1,140.00","12,564,200"
21-Oct-24,"1,150.00","1,175.00","1,145.00","1,145.00","1,145.00","23,807,000"
18-Oct-24,"1,170.00","1,175.00","1,145.00","1,145.00","1,145.00","122,523,100"
17-Oct-24,"1,190.00","1,195.00","1,170.00","1,170.00","1,170.00","17,573,000"
16-Oct-24,"1,185.00","1,210.00","1,180.00","1,185.00","1,185.00","21,247,400"
15-Oct-24,"1,185.00","1,190.00","1,180.00","1,180.00","1,180.00","14,459,000"
14-Oct-24,"1,190.00","1,195.00","1,180.00","1,180.00","1,180.00","19,789,700"
11-Oct-24,"1,170.00","1,190.00","1,170.00","1,185.00","1,185.00","23,702,500"
10-Oct-24,"1,170.00","1,175.00","1,155.00","1,170.00","1,170.00","24,913,800"
9-Oct-24,"1,130.00","1,165.00","1,130.00","1,165.00","1,165.00","19,209,000"
8-Oct-24,"1,140.00","1,145.00","1,125.00","1,125.00","1,125.00","7,802,000"
7-Oct-24,"1,155.00","1,160.00","1,130.00","1,140.00","1,140.00","10,375,700"
4-Oct-24,"1,130.00","1,155.00","1,125.00","1,145.00","1,145.00","15,909,800"
3-Oct-24,"1,130.00","1,135.00","1,120.00","1,120.00","1,120.00","6,631,800"
2-Oct-24,"1,130.00","1,145.00","1,115.00","1,120.00","1,120.00","15,802,900"
1-Oct-24,"1,135.00","1,135.00","1,120.00","1,125.00","1,125.00","9,049,300"
30-Sep-24,"1,140.00","1,140.00","1,120.00","1,135.00","1,135.00","12,042,800"
27-Sep-24,"1,150.00","1,165.00","1,135.00","1,135.00","1,135.00","14,402,800"
26-Sep-24,"1,160.00","1,175.00","1,150.00","1,150.00","1,150.00","11,214,900"
25-Sep-24,"1,175.00","1,180.00","1,155.00","1,160.00","1,160.00","14,065,100"
24-Sep-24,"1,155.00","1,185.00","1,150.00","1,170.00","1,170.00","45,748,500"
23-Sep-24,"1,120.00","1,150.00","1,120.00","1,150.00","1,150.00","22,537,600"
20-Sep-24,"1,130.00","1,135.00","1,110.00","1,115.00","1,115.00","18,419,400"
19-Sep-24,"1,120.00","1,130.00","1,120.00","1,125.00","1,125.00","10,471,000"
18-Sep-24,"1,120.00","1,135.00","1,120.00","1,120.00","1,120.00","9,018,300"
17-Sep-24,"1,120.00","1,135.00","1,115.00","1,120.00","1,120.00","15,623,200"
13-Sep-24,"1,140.00","1,145.00","1,115.00","1,120.00","1,120.00","34,051,500"
12-Sep-24,"1,135.00","1,150.00","1,135.00","1,140.00","1,140.00","11,995,100"
11-Sep-24,"1,155.00","1,160.00","1,130.00","1,130.00","1,130.00","12,958,500"
10-Sep-24,"1,130.00","1,160.00","1,130.00","1,150.00","1,150.00","12,947,900"
9-Sep-24,"1,130.00","1,140.00","1,130.00","1,130.00","1,130.00","6,368,400"
6-Sep-24,"1,140.00","1,140.00","1,125.00","1,130.00","1,130.00","10,154,600"
5-Sep-24,"1,135.00","1,140.00","1,130.00","1,140.00","1,140.00","5,705,600"
4-Sep-24,"1,130.00","1,140.00","1,125.00","1,135.00","1,135.00","5,397,100"
3-Sep-24,"1,150.00","1,160.00","1,130.00","1,130.00","1,130.00","12,896,600"
2-Sep-24,"1,150.00","1,165.00","1,145.00","1,145.00","1,145.00","21,269,300"
30-Aug-24,"1,125.00","1,160.00","1,125.00","1,145.00","1,145.00","12,423,400"
29-Aug-24,"1,160.00","1,165.00","1,125.00","1,125.00","1,125.00","29,218,200"
28-Aug-24,"1,180.00","1,190.00","1,155.00","1,155.00","1,155.00","34,030,200"
27-Aug-24,"1,185.00","1,195.00","1,175.00","1,180.00","1,180.00","16,607,900"
26-Aug-24,"1,175.00","1,200.00","1,175.00","1,185.00","1,185.00","24,707,700"
23-Aug-24,"1,190.00","1,200.00","1,165.00","1,175.00","1,175.00","26,031,300"
22-Aug-24,"1,200.00","1,200.00","1,185.00","1,190.00","1,190.00","10,510,000"
21-Aug-24,"1,205.00","1,210.00","1,195.00","1,200.00","1,200.00","21,801,600"
20-Aug-24,"1,215.00","1,220.00","1,200.00","1,205.00","1,205.00","20,788,100"
19-Aug-24,"1,230.00","1,235.00","1,210.00","1,215.00","1,215.00","13,832,200"
16-Aug-24,"1,235.00","1,245.00","1,225.00","1,230.00","1,230.00","16,886,700"
15-Aug-24,"1,255.00","1,255.00","1,230.00","1,235.00","1,235.00","10,130,900"
14-Aug-24,"1,230.00","1,255.00","1,230.00","1,250.00","1,250.00","10,653,700"
13-Aug-24,"1,245.00","1,245.00","1,225.00","1,225.00","1,225.00","16,061,300"
12-Aug-24,"1,230.00","1,245.00","1,220.00","1,230.00","1,230.00","7,018,800"
9-Aug-24,"1,250.00","1,260.00","1,215.00","1,230.00","1,230.00","8,154,400"
8-Aug-24,"1,250.00","1,260.00","1,235.00","1,240.00","1,240.00","6,951,300"
7-Aug-24,"1,250.00","1,265.00","1,245.00","1,250.00","1,250.00","8,146,400"
6-Aug-24,"1,215.00","1,260.00","1,215.00","1,245.00","1,245.00","16,026,200"
5-Aug-24,"1,250.00","1,250.00","1,195.00","1,210.00","1,210.00","32,122,700"
2-Aug-24,"1,285.00","1,285.00","1,255.00","1,255.00","1,255.00","16,575,200"
1-Aug-24,"1,325.00","1,335.00","1,280.00","1,285.00","1,285.00","19,688,100"
31-Jul-24,"1,280.00","1,330.00","1,275.00","1,315.00","1,315.00","28,415,900"
30-Jul-24,"1,285.00","1,290.00","1,250.00","1,280.00","1,280.00","6,450,300"
29-Jul-24,"1,280.00","1,295.00","1,260.00","1,285.00","1,285.00","8,861,700"
26-Jul-24,"1,270.00","1,285.00","1,260.00","1,265.00","1,265.00","4,508,300"
25-Jul-24,"1,275.00","1,285.00","1,250.00","1,270.00","1,270.00","4,105,400"
24-Jul-24,"1,285.00","1,290.00","1,255.00","1,275.00","1,275.00","8,702,300"
23-Jul-24,"1,300.00","1,305.00","1,280.00","1,280.00","1,280.00","6,519,600"
22-Jul-24,"1,280.00","1,320.00","1,275.00","1,295.00","1,295.00","18,684,400"
19-Jul-24,"1,290.00","1,310.00","1,260.00","1,290.00","1,290.00","20,490,200"
18-Jul-24,"1,265.00","1,290.00","1,255.00","1,285.00","1,285.00","12,072,600"
17-Jul-24,"1,285.00","1,310.00","1,250.00","1,260.00","1,260.00","13,017,800"
16-Jul-24,"1,275.00","1,300.00","1,255.00","1,285.00","1,285.00","14,583,400"
15-Jul-24,"1,295.00","1,325.00","1,270.00","1,275.00","1,275.00","12,236,200"
12-Jul-24,"1,295.00","1,325.00","1,280.00","1,285.00","1,285.00","26,368,400"
11-Jul-24,"1,260.00","1,350.00","1,260.00","1,285.00","1,285.00","77,180,500"
10-Jul-24,"1,225.00","1,270.00","1,220.00","1,260.00","1,260.00","20,130,600"
9-Jul-24,"1,235.00","1,235.00","1,210.00","1,220.00","1,220.00","6,475,300"
8-Jul-24,"1,240.00","1,245.00","1,215.00","1,230.00","1,230.00","10,577,000"
5-Jul-24,"1,200.00","1,235.00","1,200.00","1,230.00","1,230.00","9,975,000"
4-Jul-24,"1,205.00","1,225.00","1,195.00","1,200.00","1,200.00","14,115,900"
3-Jul-24,"1,215.00","1,215.00","1,180.00","1,200.00","1,200.00","11,469,100"
2-Jul-24,"1,220.00","1,235.00","1,200.00","1,210.00","1,210.00","9,842,200"
1-Jul-24,"1,195.00","1,235.00","1,195.00","1,220.00","1,220.00","14,993,900"
28-Jun-24,"1,205.00","1,210.00","1,190.00","1,190.00","1,190.00","9,341,600"
27-Jun-24,"1,185.00","1,205.00","1,180.00","1,200.00","1,200.00","14,019,300"
26-Jun-24,"1,150.00","1,190.00","1,150.00","1,180.00","1,180.00","23,217,000"
25-Jun-24,"1,155.00","1,155.00","1,135.00","1,150.00","1,150.00","5,254,900"
24-Jun-24,"1,155.00","1,175.00","1,140.00","1,150.00","1,150.00","11,686,900"
21-Jun-24,"1,050.00","1,160.00","1,050.00","1,155.00","1,155.00","25,880,800"
20-Jun-24,"1,010.00","1,055.00","1,010.00","1,045.00","1,045.00","9,028,800"
19-Jun-24,"1,060.00","1,060.00","1,005.00","1,005.00","1,005.00","16,021,300"
14-Jun-24,"1,120.00","1,125.00","1,055.00","1,060.00","1,060.00","11,470,900"
13-Jun-24,"1,120.00","1,135.00","1,115.00","1,120.00","1,120.00","3,379,500"
12-Jun-24,"1,170.00","1,170.00","1,110.00","1,115.00","1,115.00","12,869,100"
11-Jun-24,"1,180.00","1,180.00","1,165.00","1,170.00","1,170.00","6,528,700"
10-Jun-24,"1,190.00","1,195.00","1,155.00","1,170.00","1,170.00","9,631,100"
7-Jun-24,"1,170.00","1,200.00","1,170.00","1,180.00","1,180.00","6,015,200"
6-Jun-24,"1,160.00","1,175.00","1,150.00","1,170.00","1,170.00","9,354,400"
5-Jun-24,"1,210.00","1,220.00","1,185.00","1,190.00","1,142.23","16,633,700"
4-Jun-24,"1,215.00","1,235.00","1,200.00","1,210.00","1,161.42","13,695,100"
3-Jun-24,"1,195.00","1,220.00","1,190.00","1,210.00","1,161.42","10,286,200"
31-May-24,"1,235.00","1,250.00","1,185.00","1,185.00","1,137.43","30,596,500"
30-May-24,"1,265.00","1,265.00","1,230.00","1,235.00","1,185.42","13,368,000"
29-May-24,"1,290.00","1,290.00","1,245.00","1,265.00","1,214.22","14,400,400"
28-May-24,"1,250.00","1,280.00","1,245.00","1,260.00","1,209.42","14,127,500"
27-May-24,"1,260.00","1,275.00","1,220.00","1,235.00","1,185.42","16,275,300"
22-May-24,"1,300.00","1,300.00","1,250.00","1,260.00","1,209.42","17,629,200"
21-May-24,"1,270.00","1,310.00","1,270.00","1,280.00","1,228.61","27,486,400"
20-May-24,"1,300.00","1,360.00","1,260.00","1,260.00","1,209.42","73,814,800"
17-May-24,"1,315.00","1,335.00","1,285.00","1,290.00","1,238.21","39,547,100"
16-May-24,"1,250.00","1,335.00","1,245.00","1,315.00","1,262.21","60,237,700"
15-May-24,"1,270.00","1,270.00","1,240.00","1,250.00","1,199.82","25,197,100"
14-May-24,"1,260.00","1,275.00","1,240.00","1,270.00","1,219.01","24,416,000"
13-May-24,"1,315.00","1,330.00","1,255.00","1,260.00","1,209.42","38,530,600"
8-May-24,"1,310.00","1,370.00","1,310.00","1,315.00","1,262.21","41,218,000"
7-May-24,"1,340.00","1,380.00","1,305.00","1,305.00","1,252.61","53,702,800"
6-May-24,"1,220.00","1,335.00","1,220.00","1,335.00","1,281.41","93,776,800"
3-May-24,"1,210.00","1,220.00","1,205.00","1,215.00","1,166.22","8,894,500"
2-May-24,"1,225.00","1,230.00","1,200.00","1,205.00","1,156.62","8,216,500"
30-Apr-24,"1,210.00","1,225.00","1,205.00","1,220.00","1,171.02","16,590,000"
29-Apr-24,"1,200.00","1,215.00","1,185.00","1,210.00","1,161.42","17,730,400"
26-Apr-24,"1,230.00","1,235.00","1,200.00","1,200.00","1,151.82","12,796,200"
25-Apr-24,"1,205.00","1,235.00","1,195.00","1,225.00","1,175.82","16,981,300"
24-Apr-24,"1,205.00","1,210.00","1,195.00","1,200.00","1,151.82","5,092,000"
23-Apr-24,"1,210.00","1,210.00","1,190.00","1,205.00","1,156.62","5,490,100"
22-Apr-24,"1,225.00","1,225.00","1,200.00","1,205.00","1,156.62","11,513,800"
19-Apr-24,"1,230.00","1,235.00","1,185.00","1,220.00","1,171.02","137,395,300"
18-Apr-24,"1,220.00","1,240.00","1,215.00","1,230.00","1,180.62","45,207,000"
17-Apr-24,"1,195.00","1,245.00","1,190.00","1,210.00","1,161.42","61,949,800"
16-Apr-24,"1,190.00","1,200.00","1,160.00","1,190.00","1,142.23","37,640,900"
5-Apr-24,"1,190.00","1,215.00","1,185.00","1,190.00","1,142.23","21,099,300"
4-Apr-24,"1,160.00","1,195.00","1,140.00","1,190.00","1,142.23","23,641,300"
3-Apr-24,"1,135.00","1,170.00","1,120.00","1,160.00","1,113.43","14,495,600"
2-Apr-24,"1,125.00","1,130.00","1,075.00","1,130.00","1,084.64","27,109,800"
1-Apr-24,"1,175.00","1,175.00","1,110.00","1,125.00","1,079.84","17,557,300"
28-Mar-24,"1,190.00","1,195.00","1,175.00","1,175.00","1,127.83","5,089,700"
27-Mar-24,"1,195.00","1,195.00","1,175.00","1,185.00","1,137.43","8,782,300"
26-Mar-24,"1,195.00","1,195.00","1,195.00","1,195.00","1,147.03",-
25-Mar-24,"1,195.00","1,195.00","1,195.00","1,195.00","1,147.03",-
22-Mar-24,"1,200.00","1,200.00","1,185.00","1,195.00","1,147.03","12,531,300"
21-Mar-24,"1,185.00","1,220.00","1,185.00","1,200.00","1,151.82","33,026,400"
20-Mar-24,"1,185.00","1,200.00","1,180.00","1,185.00","1,137.43","11,722,400"
19-Mar-24,"1,185.00","1,190.00","1,180.00","1,180.00","1,132.63","7,657,300"
18-Mar-24,"1,180.00","1,195.00","1,180.00","1,180.00","1,132.63","9,214,600"
15-Mar-24,"1,200.00","1,200.00","1,180.00","1,180.00","1,132.63","13,501,600"
14-Mar-24,"1,200.00","1,210.00","1,185.00","1,185.00","1,137.43","10,587,700"
13-Mar-24,"1,185.00","1,215.00","1,185.00","1,200.00","1,151.82","33,009,300"
8-Mar-24,"1,200.00","1,205.00","1,185.00","1,185.00","1,137.43","8,866,400"
7-Mar-24,"1,190.00","1,210.00","1,175.00","1,200.00","1,151.82","26,511,800"
6-Mar-24,"1,195.00","1,205.00","1,180.00","1,195.00","1,147.03","22,399,500"
5-Mar-24,"1,215.00","1,215.00","1,185.00","1,195.00","1,147.03","20,110,900"
4-Mar-24,"1,220.00","1,235.00","1,205.00","1,210.00","1,161.42","14,098,400"
1-Mar-24,"1,210.00","1,230.00","1,205.00","1,220.00","1,171.02","13,116,200"
29-Feb-24,"1,235.00","1,240.00","1,210.00","1,210.00","1,161.42","15,016,900"
28-Feb-24,"1,220.00","1,230.00","1,215.00","1,230.00","1,180.62","6,991,300"
27-Feb-24,"1,230.00","1,240.00","1,215.00","1,220.00","1,171.02","11,695,800"
26-Feb-24,"1,230.00","1,245.00","1,225.00","1,230.00","1,180.62","21,163,900"
23-Feb-24,"1,220.00","1,235.00","1,200.00","1,225.00","1,175.82","24,846,100"
22-Feb-24,"1,180.00","1,215.00","1,180.00","1,205.00","1,156.62","19,696,900"
21-Feb-24,"1,195.00","1,195.00","1,175.00","1,180.00","1,132.63","23,225,900"
20-Feb-24,"1,210.00","1,215.00","1,185.00","1,195.00","1,147.03","19,140,000"
19-Feb-24,"1,200.00","1,230.00","1,190.00","1,210.00","1,161.42","16,018,700"
16-Feb-24,"1,240.00","1,240.00","1,205.00","1,205.00","1,156.62","19,513,200"
15-Feb-24,"1,220.00","1,235.00","1,215.00","1,235.00","1,185.42","23,134,900"
13-Feb-24,"1,230.00","1,230.00","1,200.00","1,210.00","1,161.42","25,916,900"
12-Feb-24,"1,180.00","1,230.00","1,160.00","1,215.00","1,166.22","36,533,900"
7-Feb-24,"1,225.00","1,230.00","1,175.00","1,180.00","1,132.63","58,134,600"
6-Feb-24,"1,230.00","1,240.00","1,205.00","1,220.00","1,171.02","29,326,000"
5-Feb-24,"1,285.00","1,285.00","1,215.00","1,220.00","1,171.02","68,170,200"
2-Feb-24,"1,315.00","1,320.00","1,285.00","1,285.00","1,233.41","25,152,200"
1-Feb-24,"1,305.00","1,325.00","1,290.00","1,315.00","1,262.21","34,328,200"
31-Jan-24,"1,315.00","1,340.00","1,295.00","1,310.00","1,257.41","72,710,300"
30-Jan-24,"1,320.00","1,340.00","1,300.00","1,315.00","1,262.21","35,770,700"
29-Jan-24,"1,320.00","1,340.00","1,300.00","1,315.00","1,262.21","46,225,000"
26-Jan-24,"1,285.00","1,500.00","1,275.00","1,320.00","1,267.01","149,450,600"
25-Jan-24,"1,210.00","1,275.00","1,210.00","1,255.00","1,204.62","52,763,100"
24-Jan-24,"1,245.00","1,260.00","1,205.00","1,240.00","1,190.22","49,796,900"
23-Jan-24,"1,250.00","1,265.00","1,235.00","1,245.00","1,195.02","39,034,100"
22-Jan-24,"1,260.00","1,280.00","1,240.00","1,240.00","1,190.22","44,516,700"
19-Jan-24,"1,270.00","1,270.00","1,235.00","1,240.00","1,190.22","43,921,000"
18-Jan-24,"1,260.00","1,290.00","1,245.00","1,250.00","1,199.82","49,529,500"
17-Jan-24,"1,245.00","1,265.00","1,230.00","1,260.00","1,209.42","48,343,100"
16-Jan-24,"1,235.00","1,245.00","1,215.00","1,245.00","1,195.02","43,644,100"
15-Jan-24,"1,205.00","1,205.00","1,205.00","1,205.00","1,156.62",-
12-Jan-24,"1,215.00","1,220.00","1,200.00","1,205.00","1,156.62","24,868,100"
11-Jan-24,"1,200.00","1,220.00","1,190.00","1,205.00","1,156.62","38,142,100"
10-Jan-24,"1,180.00","1,230.00","1,175.00","1,200.00","1,151.82","69,353,600"
